"as_of_date","classification_for_rate_setting","corresponding_generic_drug_effective_date","corresponding_generic_drug_nadac_per_unit","effective_date","explanation_code","nadac_per_unit","ndc","ndc_description","otc","pharmacy_type_indicator","pricing_unit"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.17812","29033000305","SUCRALFATE 1 GM TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.5569","65862028801","PERINDOPRIL ERBUMINE 8 MG TAB","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-01-20T00:00:00.000","4","0.27302","64679096501","BETHANECHOL 5 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.1868","57237000905","MIRTAZAPINE 30 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.075","00904578324","MAPAP SINUS CAPLET","Y","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.02671","00904564360","DOK PLUS TABLET","Y","C/I","EA"
"2016-03-16T00:00:00.000","B",,,"2015-12-23T00:00:00.000","4, 6","0.32873","37000002304","METAMUCIL PACKET","Y","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1, 5","0.94047","00409379601","KETOROLAC 60 MG/2 ML VIAL","N","C/I","ML"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.21938","62756055483","OLANZAPINE 10 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.1795","00093171201","WARFARIN SODIUM 1 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.17839","63739058810","PREDNISONE 20 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.24215","68084060811","TRAZODONE 150 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.59325","51079073656","HALOPERIDOL 5 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.04731","68001020900","LISINOPRIL 40 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","B",,,"2015-07-01T00:00:00.000","4, 5","15.18736","00065062707","VEXOL 1% EYE DROPS","N","C/I","ML"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.31466","00093031101","LOPERAMIDE 2 MG CAPSULE","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.01455","50742010110","ATENOLOL 25 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.08495","58605042201","MAXIPHEN TABLET","Y","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.96763","00781197201","DESIPRAMINE 25 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.02458","68084051211","SIMVASTATIN 20 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.17839","00054001820","PREDNISONE 20 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.57138","60505002008","CIMETIDINE 400 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.07603","67877014701","TEMAZEPAM 30 MG CAPSULE","N","C/I","EA"
"2016-03-16T00:00:00.000","B",,,"2015-05-20T00:00:00.000","4","5.16238","00085081935","NITRO-DUR 0.8 MG/HR PATCH","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.14654","13107012460","RISPERIDONE 4 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.48629","16714034804","DASETTA 1-35-28 TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.05282","00228203910","ALPRAZOLAM 2 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1, 5","2.3929","00168031004","DESONIDE 0.05% LOTION","N","C/I","ML"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.02375","00093715398","SIMVASTATIN 10 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.68662","00172480460","OXAZEPAM 10 MG CAPSULE","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-03-16T00:00:00.000","1","0.08133","69452012820","GLIMEPIRIDE 1 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.03704","68645051101","HYDROCHLOROTHIAZIDE 50 MG TAB","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.02671","00603014932","DOC-Q-LAX TABLET","Y","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.77381","00574011501","FLAVOXATE HCL 100 MG TABLET","N","C/I","EA"
"2016-03-16T00:00:00.000","G",,,"2016-02-17T00:00:00.000","1","0.15058","00093753656","ANASTROZOLE 1 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.16437","64376080301","FE C TABLET","Y","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.15642","00093576801","OLANZAPINE 5 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.06762","68382000601","LAMOTRIGINE 25 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.26153","00054001920","PREDNISONE 50 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","B",,,"2016-01-07T00:00:00.000","2","8.35885","66582041454","ZETIA 10 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.67544","00781517728","RIBAVIRIN 200 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.69714","55111062930","ESZOPICLONE 1 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-02-17T00:00:00.000","4","0.78773","00378604328","RISPERIDONE 0.5 MG ODT","N","C/I","EA"
"2016-01-20T00:00:00.000","G",,,"2016-01-20T00:00:00.000","1, 5","0.0648","37205048310","NOSE DROPS","Y","C/I","ML"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.12598","65162052210","PROMETHAZINE 50 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.01964","00904580843","LISINOPRIL 10 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","4.21175","64661071130","ENLYTE SOFTGEL","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1, 5","0.06714","24385039010","NOSE DROPS","Y","C/I","ML"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","1.59993","60505000506","CAPTOPRIL 50 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","B",,,"2016-01-20T00:00:00.000","2","3.28522","00456142001","BYSTOLIC 20 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.03117","57664039813","GLIPIZIDE 5 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1, 5","0.00778","54838012540","BROTAPP LIQUID","Y","C/I","ML"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.01964","65862003999","LISINOPRIL 10 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1, 5","0.14711","00574200416","KIONEX POWDER","N","C/I","GM"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.23643","31722077801","ACYCLOVIR 800 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.03738","62011025001","HM PAIN RELIEVER PM CAPLET","Y","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.16518","00143148410","PRIMIDONE 250 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","B",,,"2016-01-01T00:00:00.000","2","6.75516","52544015130","RAPAFLO 4 MG CAPSULE","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-16T00:00:00.000","4","3.43774","60505358306","ABACAVIR 300 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.01323","00172375760","LISINOPRIL 2.5 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","B",,,"2015-12-01T00:00:00.000","2","7.58127","00002446534","CIALIS 2.5 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","3.7819","42043016003","MODAFINIL 100 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1, 6","0.10772","68645045870","ATORVASTATIN 10 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","B",,,"2015-10-01T00:00:00.000","2","49.54012","59011075004","BUTRANS 5 MCG/HR PATCH","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.01779","51079010501","FOLIC ACID 1 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.02527","60505357901","MELOXICAM 15 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.97125","00555905058","KARIVA 28 DAY TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.13379","51079032156","FINASTERIDE 5 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.20386","66993046230","OLANZAPINE 7.5 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.04466","24658030030","SIMVASTATIN 5 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.10425","27241000450","RISPERIDONE 2 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.01804","00143126601","LISINOPRIL 5 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","B",,,"2016-03-23T00:00:00.000","1","82.93292","61958190101","GENVOYA TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","B",,,"2016-01-19T00:00:00.000","4, 5","8.01771","00145007160","VELTIN GEL","N","C/I","GM"
"2016-03-23T00:00:00.000","G",,,"2015-08-19T00:00:00.000","4","0.39058","00225058008","CONGESTAC TABLET","Y","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","15.3517","00378335216","ESTRADIOL TDS 0.1 MG/DAY","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.64113","00904592561","HALOPERIDOL 5 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.36072","62037069630","TAZTIA XT 120 MG CAPSULE","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2015-04-22T00:00:00.000","4, 5","3.57358","50383026930","CLOBETASOL 0.05% GEL","N","C/I","GM"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1, 6","0.47259","52544062928","NORA-BE TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.02404","47335060518","ALPRAZOLAM 1 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","B",,,"2015-12-01T00:00:00.000","2","11.69638","00003421531","ONGLYZA 5 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.13968","68462024920","RANITIDINE 300 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.01078","63739054110","FUROSEMIDE 20 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.06167","00143134705","NAPROXEN 375 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2015-10-21T00:00:00.000","4, 5","0.55256","60505055204","TIMOLOL 0.25% EYE DROPS","N","C/I","ML"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.45625","62756055688","OLANZAPINE 20 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","B",,,"2016-01-01T00:00:00.000","4","5.32247","00173081059","POTIGA 50 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.06286","00591034310","VERAPAMIL 80 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.96048","68084097295","DESIPRAMINE 25 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1, 5","0.05479","00113030410","NASAL SPRAY 0.05%","Y","C/I","ML"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.07081","59746038406","TERAZOSIN 2 MG CAPSULE","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.11525","68382079101","ACYCLOVIR 400 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","B",,,"2016-02-17T00:00:00.000","4, 6","4.73467","00085331535","NITRO-DUR 0.3 MG/HR PATCH","N","C/I","EA"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1, 5","0.04256","45802018816","HEMORRHOIDAL OINTMENT","Y","C/I","GM"
"2016-03-30T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.19801","60505255201","GABAPENTIN 800 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","B",,,"2016-03-23T00:00:00.000","1","18.40961","00078059920","FANAPT 8 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.07152","65862004101","LISINOPRIL 30 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.03447","51079093201","CARVEDILOL 25 MG TABLET","N","C/I","EA"
"2014-09-24T00:00:00.000","G",,,"2014-09-17T00:00:00.000","1","0.16258","64376080301","FE C TABLET","Y","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.15304","68001018705","QUINAPRIL 20 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.24161","00378680501","ZALEPLON 5 MG CAPSULE","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.02882","00603295732","CLONIDINE HCL 0.1 MG TABLET","N","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.0293","15127031225","SB IBUPROFEN 200 MG TABLET","Y","C/I","EA"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1, 5","0.0188","36800030603","CLEARLAX POWDER","Y","C/I","GM"
"2016-03-23T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.28021","51079073401","HALOPERIDOL 1 MG TABLET","N","C/I","EA"
"2016-03-30T00:00:00.000","B",,,"2016-01-01T00:00:00.000","2","5.56347","00071101668","LYRICA 150 MG CAPSULE","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.53785","00054029125","ESZOPICLONE 2 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.56581","00591247330","TAMOXIFEN 20 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","B",,,"2016-01-05T00:00:00.000","2","5.38229","64764008060","AMITIZA 8 MCG CAPSULE","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.05155","69238110205","IBUPROFEN 600 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1, 5","0.09405","37205013905","EYE DROPS","Y","C/I","ML"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.07816","51079007501","HYDRALAZINE 25 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.08492","00904635961","RISPERIDONE 1 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","B",,,"2015-04-22T00:00:00.000","4","12.45","52268070001","GOLYTELY PACKET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1, 5","0.01763","00904578220","DIMAPHEN DM ELIXIR","Y","C/I","ML"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1, 5","0.0188","43386031214","GAVILAX POWDER","Y","C/I","GM"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.51745","68180089311","PIRMELLA 1-35-28 TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.01231","51079007301","FUROSEMIDE 40 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","1.56157","52544098131","ZARAH TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.40635","00093435905","CLOZAPINE 25 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.04466","42571000590","SIMVASTATIN 5 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.0212","67253090050","ALPRAZOLAM 0.25 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.13686","64376081601","PRENATAL PLUS TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2015-12-23T00:00:00.000","4","1.59944","00172480660","OXAZEPAM 30 MG CAPSULE","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.16437","64376080301","FE C TABLET","Y","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.14402","68645021054","GLYBURIDE 2.5 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.02796","68382006616","SIMVASTATIN 10 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","B",,,"2016-02-10T00:00:00.000","4, 5","6.247","50484001090","SANTYL OINTMENT","N","C/I","GM"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.61671","13668015830","TELMISARTAN 80 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.0293","36800060478","IBUPROFEN 200 MG TABLET","Y","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1, 5","0.27656","24385052403","TERBINAFINE 1% CREAM","Y","C/I","GM"
"2016-04-06T00:00:00.000","G",,,"2015-05-20T00:00:00.000","4, 5","0.33527","64661001116","J-MAX SYRUP","Y","C/I","ML"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.21973","31722073090","IRBESARTAN 150 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.02249","69452011130","ALPRAZOLAM 0.5 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.25398","60505265505","TRAZODONE 150 MG TABLET","N","C/I","EA"
"2016-04-06T00:00:00.000","B",,,"2015-12-23T00:00:00.000","4, 5","8.86757","10337035860","OXISTAT 1% CREAM","N","C/I","GM"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1, 5","0.19858","51672130504","MOMETASONE FUROATE 0.1% SOLN","N","C/I","ML"
"2016-04-06T00:00:00.000","G",,,"2016-03-23T00:00:00.000","1","0.22546","76282033401","WARFARIN SODIUM 7.5 MG TABLET","N","C/I","EA"
"2015-11-18T00:00:00.000","G",,,"2015-08-19T00:00:00.000","4","4.53524","00527136901","DANAZOL 200 MG CAPSULE","N","C/I","EA"
"2015-12-30T00:00:00.000","G",,,"2015-12-23T00:00:00.000","1","4.12341","65862065903","OLANZAPINE ODT 20 MG TABLET","N","C/I","EA"
"2015-10-14T00:00:00.000","G",,,"2015-09-23T00:00:00.000","1","0.32196","00378312101","REPAGLINIDE 0.5 MG TABLET","N","C/I","EA"
"2015-09-30T00:00:00.000","G",,,"2015-09-23T00:00:00.000","1, 5","1.00676","45802096272","ERY 2% PADS","N","C/I","EA"
"2015-10-21T00:00:00.000","G",,,"2015-10-21T00:00:00.000","1","3.31293","00228306411","DEXTROAMP-AMPHET ER 25 MG CAP","N","C/I","EA"
"2015-12-09T00:00:00.000","G",,,"2015-11-18T00:00:00.000","1","0.01496","51079098156","LISINOPRIL 5 MG TABLET","N","C/I","EA"
"2015-10-21T00:00:00.000","G",,,"2015-10-21T00:00:00.000","1","0.06167","68462018960","NAPROXEN 375 MG TABLET","N","C/I","EA"
"2015-11-11T00:00:00.000","B",,,"2015-10-21T00:00:00.000","1","17.82067","63459022030","NUVIGIL 200 MG TABLET","N","C/I","EA"
"2015-11-11T00:00:00.000","G",,,"2015-10-21T00:00:00.000","1","0.01461","00054429725","FUROSEMIDE 20 MG TABLET","N","C/I","EA"
"2015-12-09T00:00:00.000","G",,,"2015-11-18T00:00:00.000","1","0.09349","61442011101","ACYCLOVIR 200 MG CAPSULE","N","C/I","EA"
"2015-10-21T00:00:00.000","B",,,"2015-01-21T00:00:00.000","4, 5, 6","0.04593","00096073804","DHS SAL 3% SHAMPOO","Y","C/I","ML"
"2015-11-04T00:00:00.000","G",,,"2015-10-21T00:00:00.000","1","0.0751","68382006905","SIMVASTATIN 80 MG TABLET","N","C/I","EA"
"2015-11-18T00:00:00.000","G",,,"2015-11-18T00:00:00.000","1","0.1903","42806001101","SULINDAC 200 MG TABLET","N","C/I","EA"
"2015-10-07T00:00:00.000","G",,,"2015-09-23T00:00:00.000","1","0.13835","00904635024","RANITIDINE 150 MG TABLET","Y","C/I","EA"
"2015-12-02T00:00:00.000","G",,,"2015-11-18T00:00:00.000","1","0.0454","00185050505","BENAZEPRIL HCL 5 MG TABLET","N","C/I","EA"
"2015-12-16T00:00:00.000","G",,,"2015-11-18T00:00:00.000","1","0.04934","51079049820","LAMOTRIGINE 25 MG TABLET","N","C/I","EA"
"2015-11-11T00:00:00.000","G",,,"2015-10-21T00:00:00.000","1","6.361","42043016190","MODAFINIL 200 MG TABLET","N","C/I","EA"
"2015-11-25T00:00:00.000","B",,,"2015-08-01T00:00:00.000","2","7.4031","59417010610","VYVANSE 60 MG CAPSULE","N","C/I","EA"
"2015-09-30T00:00:00.000","G",,,"2015-09-23T00:00:00.000","1","0.01953","16729019617","LISINOPRIL 10 MG TABLET","N","C/I","EA"
"2015-09-30T00:00:00.000","B",,,"2015-07-07T00:00:00.000","4","14.08625","00078041420","ZORTRESS 0.5 MG TABLET","N","C/I","EA"
"2015-12-16T00:00:00.000","G",,,"2015-11-18T00:00:00.000","1","0.28754","51079074701","DILTIAZEM 90 MG TABLET","N","C/I","EA"
"2015-11-18T00:00:00.000","G",,,"2015-10-21T00:00:00.000","4, 5","0.06207","49348019727","SM NOSE DROPS","Y","C/I","ML"
"2015-09-30T00:00:00.000","B",,,"2015-07-01T00:00:00.000","2","34.7456","00173083113","LEVITRA 20 MG TABLET","N","C/I","EA"
"2015-11-11T00:00:00.000","G",,,"2015-10-21T00:00:00.000","1","0.1071","00093894301","ACYCLOVIR 400 MG TABLET","N","C/I","EA"
"2015-11-25T00:00:00.000","G",,,"2015-11-18T00:00:00.000","1","0.0965","68084033211","ROPINIROLE HCL 2 MG TABLET","N","C/I","EA"
"2015-12-23T00:00:00.000","G",,,"2015-12-23T00:00:00.000","1","0.04033","68382009505","CARVEDILOL 25 MG TABLET","N","C/I","EA"
"2015-11-18T00:00:00.000","G",,,"2015-11-18T00:00:00.000","1","0.05731","68180046701","LOVASTATIN 10 MG TABLET","N","C/I","EA"
"2015-10-28T00:00:00.000","G",,,"2015-10-21T00:00:00.000","1","0.89268","00378018701","PROPRANOLOL 60 MG TABLET","N","C/I","EA"
"2015-11-11T00:00:00.000","G",,,"2015-10-21T00:00:00.000","1, 5","4.3553","00574206304","CLOBETASOL PROP 0.05% SPRAY","N","C/I","ML"
"2015-10-21T00:00:00.000","G",,,"2015-10-21T00:00:00.000","1","0.1408","60505022301","SOTALOL AF 120 MG TABLET","N","C/I","EA"
